PN	Section	Features	Grade	Params_preview
YT8825C	88系列PHY	消费级 以太网	消费级	简介: 4口2.5GPHY 消费级 | 封装: QFN128 | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 4*2.5GE | 接口: USXGMII | Note: 功能兼容QCA8085/RTL8224N/88E2540/GPY245
YT8825H	88系列PHY	工业级 以太网	工业级	简介: 4口2.5GPHY 工业级 | 封装: QFN128 | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: -40°C-85°C | 端口: 4*2.5GE | 接口: USXGMII | Note: 功能兼容QCA8085/RTL8224N/88E2540/GPY245
YT9204B	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 4FE+RGMII+SGMII | 封装: QFN88-E | 制程: 55nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 4FE | 扩展接口: RGMII+SGMII | Note: 4口百兆管理型交换机
YT9204BH	92系列 / 交换机	工业级 交换机 以太网	工业级	简介: 4FE+RGMII+SGMII | 封装: QFN88-E | 制程: 55nm | 状态: ES 25/Q1 | 工作环境温度: -40℃~85℃ | 端口: 4FE | 扩展接口: RGMII+SGMII | Note: 4口百兆管理型交换机
YT9204LB	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 4FE_LRE+RGMII+SGMII | 封装: QFN88-E | 制程: 55nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 4*FE LRE100-1 | 扩展接口: RGMII+SGMII | Note: 4口百兆管理型交换机，支持2线长距离传输
YT9213NB	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 2GE+RGMII | 封装: QFN-76 | 制程: 55nm | 工作环境温度: 0°C-70°C | 端口: 2GE LRE100-4 | 扩展接口: RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容RTL8363NB
YT9214NB	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 2GE+RGMII+RGMII/SGMII | 封装: QFN-88 | 制程: 55nm | 工作环境温度: 0°C-70°C | 端口: 2GE LRE100-4 | 扩展接口: RGMII+RGMII/SGMII (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容RTL8364NB
YT9214NBH	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 2GE+RGMII+RGMII/SGMII | 封装: QFN-88 | 制程: 55nm | 工作环境温度: 0°C-70°C | 端口: 2GE LRE100-4 | 扩展接口: RGMII+RGMII/SGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容RTL8364NB
YT9215RB	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 5GE+2RGMII | 封装: LQFP128_E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 5GE LRE100-4 | 扩展接口: 2*RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容 RTL8367RB-VB 内置RISC-V 功能兼容88E6172/6176/6141/6320/6350/6341 QCA8337/BCM53125/53135/GSW150等
YT9215RBH	92系列 / 交换机	工业级 交换机 以太网	工业级	简介: 5GE+2RGMII （工业级） | 封装: LQFP128_E | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 5GE LRE100-4 | 扩展接口: 2*RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容 RTL8367RBI 内置RISC-V 功能兼容88E6172/6176/6141/6320/6350/6341 QCA8337/BCM53125/53135/GSW150等
YT9215S	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 5GE+1RGMII+1Serdes （2.5G） | 封装: LQFP128_E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 5GE LRE100-4 | 扩展接口: RGMII+SGMII-Plus (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8367S 内置RISC-V 功能兼容88E6172/6176/6141/6320/6350/6341 QCA8337/BCM53125/53135/GSW150等
YT9215SC	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 5GE+1Fiber+1*RGMII/Serdes combo （云管交换机） | 封装: LQFP128_E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 5GE LRE100-4 | 扩展接口: RGMII+SGMII-Plus 或2*SGMII-Plus (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8367SC 内置RISC-V 功能兼容88E6172/6176/6141/6320/6350/6341 QCA8337/BCM53125/
YT9215SCH	92系列 / 交换机	工业级 交换机 以太网	工业级	简介: 5GE+1Fiber+1*RGMII/Serdes combo （工业级云管交换机） | 封装: LQFP128_E | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 5GE LRE100-4 | 扩展接口: RGMII+SGMII-Plus 或2*SGMII-Plus (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8367SCI 内置RISC-V 功能兼容88E6172/6176/6141/6320/6350/6341 QCA8337/BCM
YT9218MB	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 8GE+2*RGMII/Serdes combo | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE LRE100-4 | 扩展接口: 2*RGMII/SGMII-Plus (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8370MB  内置RISC-V 功能兼容88E6390
YT9218MBH	92系列 / 交换机	工业级 交换机 以太网	工业级	简介: 8GE+2*RGMII/Serdes combo 工业级 | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 8GE LRE100-4 | 扩展接口: 2*RGMII/SGMII-Plus (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8370MBI 内置RISC-V 功能兼容88E6390
YT9218N	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 8GE傻瓜 | 封装: LQFP128_E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE LRE100-4 | 扩展接口: N/A | Note: P2P 兼容 RTL8370N-VB 内置RISC-V
YT9218NH	92系列 / 交换机	工业级 交换机 以太网	工业级	简介: 8GE傻瓜 工业级 | 封装: LQFP128_E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE LRE100-4 | 扩展接口: N/A | Note: P2P 兼容 RTL8370N-VB 内置RISC-V
YT9222	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 2*GE+2*2.5G+2*XFI/USXGMII | 封装: DRQFN172 | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 2*GE+2*2.5G | 扩展接口: XFI/USXGMII | Note: 功能替换RTL8366 ,电路兼容QCA8385
YT9224	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 4*2.5G+2*USXGMII/XFI | 封装: DRQFN172 | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 4*2.5G | 扩展接口: 2*USXGMII/XFI | Note: 功能替换RTL8372,  电路兼容QCA8386
YT9228	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 8*2.5G+1XFI | 封装: DRQFN172 | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 8*2.5G | 扩展接口: 8*2.5G+1XFI | Note: 功能替换RTL8373
YT9230L	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 8GE+2*SMII plus lite management | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE LRE100-4 | 扩展接口: 2*SGMII plus | Note: 功能替换RTL8380
YT9231L	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 8GE+6*SMII plus lite management | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE LRE100-4 | 扩展接口: 6*SGMII plus
YT9231LH	92系列 / 交换机	工业级 交换机 以太网	工业级	简介: 8GE+6*SMII plus lite management | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: -40℃~85℃ | 端口: 8GE LRE100-4 | 扩展接口: 6*SGMII plus | Note: 工业级，单芯片解决方案    内置RISC-V
YT9232D	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 24G+4GC/2*SGMII plus Dumb | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE LRE100 4 | 扩展接口: (Serdes 支持Fiber1000/100/SGMII) 4QSGMII+QSGMII/2*SGMII plus | Note: 功能替换RTL8382L
YT9232L	92系列 / 交换机	消费级 交换机 以太网	消费级	简介: 24G+4GC/2*SGMII plus lite management | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE LRE100-4 | 扩展接口: 4QSGMII+QSGMII/2*SGMII plus | Note: 功能替换RTL8382L  内置RISC-V
YT9232LH	92系列 / 交换机	工业级 交换机 以太网	工业级	简介: 24G+4GC/2*SGMII plus lite management | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: -40℃~85℃ | 端口: 8GE LRE100-4 | 扩展接口: 4QSGMII+QSGMII/2*SGMII plus | Note: 工业级 功能替换RTL8382LI    内置RISC-V
